"GEO_ID","NAME","B07011_001E","B07011_001M","B07011_002E","B07011_002M","B07011_003E","B07011_003M","B07011_004E","B07011_004M","B07011_005E","B07011_005M","B07011_006E","B07011_006M"
"id","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"0500000US48345","Motley County, Texas","23807","2856","23237","3246","-","**","30573","8869","22969","15785","-","**"
"0500000US48347","Nacogdoches County, Texas","21426","812","24951","1545","13172","2702","6185","1516","19300","5014","-","**"
"0500000US48349","Navarro County, Texas","24951","1322","25372","1139","20513","4978","22183","3822","18333","7999","-","**"
"0500000US48351","Newton County, Texas","21019","1922","20934","2150","16445","7532","27232","11117","-","**","-","**"
"0500000US48353","Nolan County, Texas","23370","1973","24577","2093","21637","7659","20411","2380","26154","8887","-","**"
"0500000US48355","Nueces County, Texas","27335","475","28311","864","23789","1555","19395","3266","32337","12103","38750","12936"
"0500000US48357","Ochiltree County, Texas","24270","2518","24330","2361","29792","12539","31875","31095","-","**","-","**"
"0500000US48359","Oldham County, Texas","27938","3748","28750","4378","23750","13492","35417","24616","-","**","-","**"
"0500000US48361","Orange County, Texas","31543","1003","32104","1320","30369","3635","25028","7276","25353","9460","-","**"
"0500000US48363","Palo Pinto County, Texas","23594","1379","24790","1643","14146","4748","20256","10528","13750","4002","2,500-","***"
"0500000US48365","Panola County, Texas","26162","1330","27211","1780","12558","7530","19615","6667","-","**","-","**"
"0500000US48367","Parker County, Texas","32185","848","33338","1767","28455","3666","32626","6159","24032","5667","17649","2346"
"0500000US48369","Parmer County, Texas","29158","2557","29539","3044","28571","9659","31875","11907","22167","6458","-","**"
"0500000US48371","Pecos County, Texas","27388","2623","27459","2663","30319","6354","23701","7553","-","**","-","**"
"0500000US48373","Polk County, Texas","25626","966","26445","1000","19945","4314","20135","2262","25313","21235","2,500-","***"
"0500000US48375","Potter County, Texas","25457","436","25474","503","25310","1485","26166","3343","28990","10510","20735","5174"
"0500000US48377","Presidio County, Texas","14817","2508","14544","3180","16849","1859","13690","7075","-","**","-","**"
"0500000US48379","Rains County, Texas","24729","2343","25196","1869","12792","4422","25457","4926","-","**","-","**"
"0500000US48381","Randall County, Texas","34417","1008","36960","1154","30318","2447","23388","3328","26791","9605","23317","7353"
"0500000US48383","Reagan County, Texas","38030","6872","38220","6482","37500","25172","75391","38290","-","**","-","**"
"0500000US48385","Real County, Texas","20868","1522","21145","1574","13889","8360","25650","6537","-","**","-","**"
"0500000US48387","Red River County, Texas","22731","1414","23627","1357","20518","5311","15781","5657","11759","6195","-","**"
